  cell  ,E,W,N,S
"(1, 1)",1,0,0,1
"(2, 1)",1,0,1,1
"(3, 1)",0,0,1,1
"(4, 1)",1,0,1,0
"(5, 1)",1,0,0,1
"(6, 1)",0,0,1,1
"(7, 1)",1,0,1,1
"(8, 1)",1,0,1,0
"(9, 1)",1,0,0,1
"(10, 1)",0,0,1,1
"(11, 1)",1,0,1,1
"(12, 1)",0,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",1,0,1,0
"(15, 1)",1,0,0,1
"(16, 1)",1,0,1,1
"(17, 1)",1,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",1,0,1,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",1,0,1,0
"(32, 1)",1,0,0,1
"(33, 1)",1,0,1,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,1
"(37, 1)",1,0,1,1
"(38, 1)",0,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,1
"(41, 1)",1,0,1,1
"(42, 1)",0,0,1,1
"(43, 1)",1,0,1,0
"(44, 1)",1,0,0,1
"(45, 1)",1,0,1,1
"(46, 1)",0,0,1,1
"(47, 1)",0,0,1,1
"(48, 1)",1,0,1,1
"(49, 1)",0,0,1,1
"(50, 1)",1,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",1,0,1,0
"(54, 1)",1,0,0,1
"(55, 1)",0,0,1,1
"(56, 1)",0,0,1,1
"(57, 1)",1,0,1,0
"(58, 1)",1,0,0,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,1
"(61, 1)",0,0,1,1
"(62, 1)",1,0,1,1
"(63, 1)",1,0,1,1
"(64, 1)",1,0,1,1
"(65, 1)",1,0,1,0
"(66, 1)",1,0,0,1
"(67, 1)",1,0,1,1
"(68, 1)",1,0,1,1
"(69, 1)",0,0,1,1
"(70, 1)",1,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",1,1,0,1
"(3, 2)",1,0,1,0
"(4, 2)",1,1,0,1
"(5, 2)",1,1,1,1
"(6, 2)",1,0,1,1
"(7, 2)",0,1,1,0
"(8, 2)",1,1,0,1
"(9, 2)",0,1,1,1
"(10, 2)",1,0,1,0
"(11, 2)",1,1,0,1
"(12, 2)",0,0,1,1
"(13, 2)",0,1,1,0
"(14, 2)",1,1,0,1
"(15, 2)",0,1,1,0
"(16, 2)",1,1,0,0
"(17, 2)",0,1,0,1
"(18, 2)",0,0,1,1
"(19, 2)",1,1,1,0
"(20, 2)",1,0,0,1
"(21, 2)",0,1,1,1
"(22, 2)",1,0,1,1
"(23, 2)",0,1,1,1
"(24, 2)",1,0,1,1
"(25, 2)",0,1,1,1
"(26, 2)",1,0,1,1
"(27, 2)",1,0,1,1
"(28, 2)",0,1,1,1
"(29, 2)",0,0,1,1
"(30, 2)",1,1,1,0
"(31, 2)",0,1,0,1
"(32, 2)",1,1,1,0
"(33, 2)",1,1,0,0
"(34, 2)",1,1,0,1
"(35, 2)",0,0,1,1
"(36, 2)",1,1,1,0
"(37, 2)",1,1,0,1
"(38, 2)",1,0,1,1
"(39, 2)",1,0,1,1
"(40, 2)",0,1,1,0
"(41, 2)",0,1,0,1
"(42, 2)",1,0,1,1
"(43, 2)",0,1,1,1
"(44, 2)",0,1,1,0
"(45, 2)",1,1,0,1
"(46, 2)",0,0,1,1
"(47, 2)",1,0,1,1
"(48, 2)",1,1,1,1
"(49, 2)",0,0,1,1
"(50, 2)",0,1,1,1
"(51, 2)",1,0,1,1
"(52, 2)",0,0,1,1
"(53, 2)",0,1,1,1
"(54, 2)",0,1,1,1
"(55, 2)",1,0,1,1
"(56, 2)",0,0,1,1
"(57, 2)",1,1,1,1
"(58, 2)",0,1,1,1
"(59, 2)",1,0,1,1
"(60, 2)",0,1,1,1
"(61, 2)",1,0,1,1
"(62, 2)",1,1,1,0
"(63, 2)",1,1,0,0
"(64, 2)",1,1,0,0
"(65, 2)",0,1,0,1
"(66, 2)",1,1,1,0
"(67, 2)",1,1,0,0
"(68, 2)",1,1,0,1
"(69, 2)",0,0,1,1
"(70, 2)",1,1,1,0
"(1, 3)",1,1,0,0
"(2, 3)",1,1,0,0
"(3, 3)",0,1,0,1
"(4, 3)",1,1,1,0
"(5, 3)",0,1,0,0
"(6, 3)",1,1,0,1
"(7, 3)",1,0,1,1
"(8, 3)",0,1,1,1
"(9, 3)",1,0,1,1
"(10, 3)",0,1,1,1
"(11, 3)",1,1,1,1
"(12, 3)",1,0,1,0
"(13, 3)",1,0,0,1
"(14, 3)",0,1,1,1
"(15, 3)",1,0,1,0
"(16, 3)",1,1,0,1
"(17, 3)",1,0,1,0
"(18, 3)",1,0,0,1
"(19, 3)",1,1,1,1
"(20, 3)",1,1,1,1
"(21, 3)",1,0,1,1
"(22, 3)",0,1,1,1
"(23, 3)",1,0,1,1
"(24, 3)",0,1,1,1
"(25, 3)",0,0,1,1
"(26, 3)",1,1,1,0
"(27, 3)",1,1,0,1
"(28, 3)",1,0,1,1
"(29, 3)",1,0,1,0
"(30, 3)",1,1,0,1
"(31, 3)",0,0,1,1
"(32, 3)",1,1,1,1
"(33, 3)",0,1,1,1
"(34, 3)",1,1,1,1
"(35, 3)",1,0,1,0
"(36, 3)",1,1,0,1
"(37, 3)",0,1,1,0
"(38, 3)",1,1,0,0
"(39, 3)",0,1,0,1
"(40, 3)",1,0,1,0
"(41, 3)",1,0,0,1
"(42, 3)",0,1,1,1
"(43, 3)",1,0,1,1
"(44, 3)",1,0,1,1
"(45, 3)",0,1,1,1
"(46, 3)",1,0,1,1
"(47, 3)",1,1,1,0
"(48, 3)",1,1,0,1
"(49, 3)",0,0,1,1
"(50, 3)",1,0,1,1
"(51, 3)",0,1,1,1
"(52, 3)",1,0,1,0
"(53, 3)",1,0,0,1
"(54, 3)",0,0,1,1
"(55, 3)",0,1,1,1
"(56, 3)",1,0,1,1
"(57, 3)",1,1,1,0
"(58, 3)",1,0,0,1
"(59, 3)",0,1,1,1
"(60, 3)",1,0,1,1
"(61, 3)",0,1,1,0
"(62, 3)",0,1,0,1
"(63, 3)",1,1,1,0
"(64, 3)",1,1,0,1
"(65, 3)",1,0,1,1
"(66, 3)",1,1,1,0
"(67, 3)",1,1,0,0
"(68, 3)",0,1,0,1
"(69, 3)",1,0,1,0
"(70, 3)",1,1,0,0
"(1, 4)",1,1,0,1
"(2, 4)",0,1,1,1
"(3, 4)",1,0,1,1
"(4, 4)",0,1,1,1
"(5, 4)",1,0,1,0
"(6, 4)",1,1,0,0
"(7, 4)",1,1,0,1
"(8, 4)",1,0,1,1
"(9, 4)",0,1,1,1
"(10, 4)",1,0,1,1
"(11, 4)",0,1,1,0
"(12, 4)",1,1,0,1
"(13, 4)",0,1,1,1
"(14, 4)",0,0,1,1
"(15, 4)",1,1,1,1
"(16, 4)",1,1,1,0
"(17, 4)",1,1,0,0
"(18, 4)",1,1,0,0
"(19, 4)",1,1,0,0
"(20, 4)",0,1,0,0
"(21, 4)",1,1,0,0
"(22, 4)",1,0,0,1
"(23, 4)",1,1,1,1
"(24, 4)",0,0,1,1
"(25, 4)",1,0,1,1
"(26, 4)",0,1,1,1
"(27, 4)",1,1,1,0
"(28, 4)",1,1,0,0
"(29, 4)",0,1,0,1
"(30, 4)",1,1,1,0
"(31, 4)",1,0,0,1
"(32, 4)",0,1,1,1
"(33, 4)",1,0,1,1
"(34, 4)",1,1,1,0
"(35, 4)",0,1,0,1
"(36, 4)",1,1,1,1
"(37, 4)",1,0,1,1
"(38, 4)",1,1,1,1
"(39, 4)",1,0,1,1
"(40, 4)",0,1,1,1
"(41, 4)",0,1,1,0
"(42, 4)",1,0,0,1
"(43, 4)",1,1,1,0
"(44, 4)",1,1,0,1
"(45, 4)",1,0,1,1
"(46, 4)",0,1,1,0
"(47, 4)",1,1,0,0
"(48, 4)",1,1,0,0
"(49, 4)",1,0,0,1
"(50, 4)",0,1,1,1
"(51, 4)",0,0,1,1
"(52, 4)",1,1,1,1
"(53, 4)",0,1,1,1
"(54, 4)",0,0,1,1
"(55, 4)",1,0,1,0
"(56, 4)",1,1,0,0
"(57, 4)",0,1,0,1
"(58, 4)",1,1,1,0
"(59, 4)",1,0,0,1
"(60, 4)",0,1,1,1
"(61, 4)",1,0,1,1
"(62, 4)",1,0,1,0
"(63, 4)",1,1,0,1
"(64, 4)",1,1,1,0
"(65, 4)",1,1,0,0
"(66, 4)",1,1,0,1
"(67, 4)",1,1,1,0
"(68, 4)",1,0,0,1
"(69, 4)",0,1,1,1
"(70, 4)",1,1,1,0
"(1, 5)",1,1,0,1
"(2, 5)",1,0,1,1
